{'sf': 'dile', 'freq': '1529', 'analysis': 'Stem-dat', 'segmentation': 'dil-e', 'ur': 'dil-A', 'predicted_sr': 'dil-A'}
{'sf': 'kurumsɑl', 'freq': '1321', 'analysis': 'Stem-sal', 'segmentation': 'kurum-sɑl', 'ur': 'kurum-sAl', 'predicted_sr': 'kurum-sAl'}
{'sf': 'sektøry', 'freq': '1076', 'analysis': 'Stem-p3s', 'segmentation': 'sektør-y', 'ur': 'sektør-H', 'predicted_sr': 'sektør-U'}
{'sf': 'sɑɰlɑnmɑɯ', 'freq': '1026', 'analysis': 'Stem-lan-vn:inf-p3s', 'segmentation': 'sɑɰ-lɑn-mɑ-ɯ', 'ur': 'sɑɰ-lAn-mA-H', 'predicted_sr': 'sɑɰ-lAn-mA-I'}
{'sf': 'belgeler', 'freq': '1010', 'analysis': 'Stem-pl', 'segmentation': 'belge-ler', 'ur': 'belge-lAr', 'predicted_sr': 'belge-lAr'}
{'sf': 'øɰrenme', 'freq': '985', 'analysis': 'Stem-vn:inf', 'segmentation': 'øɰren-me', 'ur': 'øɰren-mA', 'predicted_sr': 'øɰren-mA'}
{'sf': 'hɑstɑlɯklɑrɯ', 'freq': '943', 'analysis': 'Stem-pl-p3s', 'segmentation': 'hɑstɑlɯk-lɑr-ɯ', 'ur': 'hɑstɑlɯk-lAr-H', 'predicted_sr': 'hɑstɑlɯk-lAr-I'}
{'sf': 'ʧøzymler', 'freq': '914', 'analysis': 'Stem-pl', 'segmentation': 'ʧøzym-ler', 'ur': 'ʧøzym-lAr', 'predicted_sr': 'ʧøzym-lAr'}
{'sf': 'ulɑʃmɑ', 'freq': '909', 'analysis': 'Stem-vn:inf', 'segmentation': 'ulɑʃ-mɑ', 'ur': 'ulɑʃ-mA', 'predicted_sr': 'ulɑʃ-mA'}
{'sf': 'ʧɑlɯʃmɑɑ', 'freq': '899', 'analysis': 'Stem-vn:inf-dat', 'segmentation': 'ʧɑlɯʃ-mɑ-ɑ', 'ur': 'ʧɑlɯʃ-mA-A', 'predicted_sr': 'ʧɑlɯʃ-mA-A'}
{'sf': 'ɑʧɯkʧɑ', 'freq': '898', 'analysis': 'Stem-ca', 'segmentation': 'ɑʧɯk-ʧɑ', 'ur': 'ɑʧɯk-ʧA', 'predicted_sr': 'ɑʧɯk-ʧA'}
{'sf': 'ylkeleri', 'freq': '873', 'analysis': 'Stem-pl-p3s', 'segmentation': 'ylke-ler-i', 'ur': 'ylke-lAr-H', 'predicted_sr': 'ylke-lAr-I'}
{'sf': 'gynleri', 'freq': '851', 'analysis': 'Stem-pl-p3s', 'segmentation': 'gyn-ler-i', 'ur': 'gyn-lAr-H', 'predicted_sr': 'gyn-lAr-I'}
{'sf': 'ysty', 'freq': '834', 'analysis': 'Stem-p3s', 'segmentation': 'yst-y', 'ur': 'yst-H', 'predicted_sr': 'yst-U'}
{'sf': 'insɑnlɑrɯ', 'freq': '822', 'analysis': 'Stem-pl-acc', 'segmentation': 'insɑn-lɑr-ɯ', 'ur': 'insɑn-lAr-H', 'predicted_sr': 'insɑn-lAr-I'}
{'sf': 'hɑrekete', 'freq': '815', 'analysis': 'Stem-dat', 'segmentation': 'hɑreket-e', 'ur': 'hɑreket-A', 'predicted_sr': 'hɑreket-A'}
{'sf': 'kurumun', 'freq': '806', 'analysis': 'Stem-gen', 'segmentation': 'kurum-un', 'ur': 'kurum-Hn', 'predicted_sr': 'kurum-Un'}
{'sf': 'dynjɑdɑki', 'freq': '805', 'analysis': 'Stem-loc-ki', 'segmentation': 'dynjɑ-dɑ-ki', 'ur': 'dynjɑ-dA-ki', 'predicted_sr': 'dynjɑ-dA-ki'}
{'sf': 'okumɑ', 'freq': '801', 'analysis': 'Stem-vn:inf', 'segmentation': 'oku-mɑ', 'ur': 'oku-mA', 'predicted_sr': 'oku-mA'}
{'sf': 'konuun', 'freq': '774', 'analysis': 'Stem-gen', 'segmentation': 'konu-un', 'ur': 'konu-Hn', 'predicted_sr': 'konu-Un'}
{'sf': 'ryjɑdɑ', 'freq': '767', 'analysis': 'Stem-loc', 'segmentation': 'ryjɑ-dɑ', 'ur': 'ryjɑ-dA', 'predicted_sr': 'ryjɑ-dA'}
{'sf': 'sektøryyn', 'freq': '762', 'analysis': 'Stem-p3s-gen', 'segmentation': 'sektør-y-yn', 'ur': 'sektør-H-Hn', 'predicted_sr': 'sektør-U-Un'}
{'sf': 'ʧoʤuklɑrdɑ', 'freq': '760', 'analysis': 'Stem-pl-loc', 'segmentation': 'ʧoʤuk-lɑr-dɑ', 'ur': 'ʧoʤuk-lAr-dA', 'predicted_sr': 'ʧoʤuk-lAr-dA'}
{'sf': 'soruun', 'freq': '739', 'analysis': 'Stem-gen', 'segmentation': 'soru-un', 'ur': 'soru-Hn', 'predicted_sr': 'soru-Un'}
{'sf': 'jɯlɑ', 'freq': '738', 'analysis': 'Stem-dat', 'segmentation': 'jɯl-ɑ', 'ur': 'jɯl-A', 'predicted_sr': 'jɯl-A'}
{'sf': 'kurmɑ', 'freq': '724', 'analysis': 'Stem-vn:inf', 'segmentation': 'kur-mɑ', 'ur': 'kur-mA', 'predicted_sr': 'kur-mA'}
{'sf': 'kyresel', 'freq': '723', 'analysis': 'Stem-sal', 'segmentation': 'kyre-sel', 'ur': 'kyre-sAl', 'predicted_sr': 'kyre-sAl'}
{'sf': 'joldɑ', 'freq': '708', 'analysis': 'Stem-loc', 'segmentation': 'jol-dɑ', 'ur': 'jol-dA', 'predicted_sr': 'jol-dA'}
{'sf': 'kiʃilere', 'freq': '705', 'analysis': 'Stem-pl-dat', 'segmentation': 'kiʃi-ler-e', 'ur': 'kiʃi-lAr-A', 'predicted_sr': 'kiʃi-lAr-A'}
{'sf': 'gøryʃy', 'freq': '688', 'analysis': 'Stem-p3s', 'segmentation': 'gøryʃ-y', 'ur': 'gøryʃ-H', 'predicted_sr': 'gøryʃ-U'}
{'sf': 'progrɑmɑ', 'freq': '677', 'analysis': 'Stem-dat', 'segmentation': 'progrɑm-ɑ', 'ur': 'progrɑm-A', 'predicted_sr': 'progrɑm-A'}
