Word,Frequency
ee,16
anne,266
hoppaa,2
O,29
mama,49
öştü,1
döştü,2
saç,11
göz,16
düştü,49
ağız,3
kak,1
bay,4
hoppa,2
otu,1
bebek,74
ayı,37
akabı,3
top,28
miyav,28
kedi,53
akabısı,1
üürü,8
kuş,57
kaşık,10
aba,2
gemi,5
kulak,3
ağbi,10
ağaç,10
baba,81
havhav,1
süslü,1
al,45
şuraya,21
sür,2
bu,626
çanta,9
otur,10
attı,5
attım,14
aşağa,3
geldi,101
bitti,27
ağzı,11
sar,2
sadım,1
köpe,1
bas,13
kazık,2
soba,1
yiyor,22
gördünmü,11
süt,54
işte,314
çorba,13
nefis,1
tükürme,1
kediler,17
beş,27
altı,16
yedi,26
dokuz,7
on,11
evet,177
kamas,1
fil,5
cici,17
elma,5
hav,49
balık,48
aslan,17
gel,27
çiçek,10
tavşan,17
araba,112
mö,4
at,45
yemek,72
ay,19
kim,26
dondurma,1
koy,24
üç,28
abla,22
dört,33
bak,558
say,6
sen,138
parmak,2
aferin,5
saat,11
Doğa,5
sıcak,6
düştüm,4
haydi,1
çok,107
tatlı,2
kaş,1
diş,2
yazık,10
anneye,7
bitanem,1
söyle,9
basma,1
hop,11
de,446
annenin,2
terliği,1
kucağıma,3
kızım,7
nerde,122
çay,15
ver,100
benim,161
kaşığım,2
değil,78
aaa,8
kırmızı,29
sarı,16
mavi,14
inek,5
sakla,2
o,362
pasta,13
ufolmuş,1
tırnak,1
ufolmamış,1
sanyaye,3
eeyapacak,2
saklan,2
Özge,3
gödüm,1
hayır,57
dede,11
burda,152
ruj,6
kasık,2
Ayşe,8
ablanın,2
adı,4
ne,353
sallama,1
yapma,11
elleme,4
kalk,10
çak,5
vurma,1
acıdı,15
siyah,9
banada,1
bana,101
yastık,4
yat,13
çekil,12
anahtar,1
pembe,7
eline,3
abbo,7
hophop,1
saçı,2
çıkay,1
kapatıyor,2
ata,10
üzüm,1
örde,1
Ahmetin,1
ördeği,3
bardak,16
eeyapıyor,4
meme,2
memesi,2
bende,8
içiyor,13
var,540
meyvesuyu,1
bakacam,2
sürmüş,1
bebeğin,4
annesi,32
uzanacak,1
bıcıbıcı,3
yapmış,17
gülüyor,4
kaşıkla,1
oynuyor,30
tencere,1
uzanmış,1
sana,49
yok,243
muz,1
balonlar,1
yatağı,4
Recep,1
oyuncak,38
güzel,72
varmış,52
yapıyor,97
ağlıyor,12
balkona,5
çıkalım,1
parmağımı,3
sıkştırdım,1
aşağı,5
atacam,1
ufoldu,1
bilmiyoruz,2
otursun,4
ayak,5
agabı,4
sil,2
aa,18
alo,3
düttü,2
ev,51
su,76
söyyemedim,1
arkadaşlar,2
bir,510
yap,21
vur,2
yeşil,9
beyaz,8
yakayadım,1
yakaladım,1
içersin,1
kaka,14
yaptın,12
şortu,2
şort,1
alma,4
turuncu,2
orda,117
çöpe,2
attınmı,1
gol,1
buldum,16
gitti,80
öptü,4
Arap,1
kızı,8
camdan,1
bakıyor,10
renk,7
koyma,4
ütü,13
yapayımmı,9
güneş,7
uçak,18
sensiye,1
tanımıyorum,2
bırak,5
şunu,53
koyayım,14
elini,9
çek,5
ayakkabı,6
koyun,10
iki,65
kapağı,2
kapak,3
döktüm,5
açayımmı,1
kraker,1
çikolata,3
içine,91
batırdım,1
bakayım,43
aç,41
ağzını,14
kola,2
yanlışlıkla,1
yemiyorum,1
ben,575
oynuycam,2
yerine,5
koyalım,10
sekiz,5
sayalımmı,1
oyuncağım,2
kolam,1
bakim,7
Tarkan,1
hangisinde,1
komik,4
maymun,13
tutayımmı,1
yemedim,3
yaz,2
birşey,91
olmaz,15
çilek,1
kağıt,14
katla,1
teşkür,1
edeyim,1
acıktım,2
kucak,2
düşme,3
çıkarma,1
aşa,1
alkış,1
babaanne,10
geldim,9
babam,111
uçacaksın,3
uaçacaksın,1
bağlama,1
konuştuk,2
kapattık,1
git,8
tamammı,2
bişey,6
kucağına,7
ağlama,2
kapat,9
gözlerini,7
pis,13
oldu,47
Sinan,6
küçük,45
bilmiyorum,82
biraz,38
yürüyor,19
ama,229
cız,3
ediyor,5
bazen,16
yapmıyor,16
çiş,1
donuna,2
yemiyor,4
olur,53
burdakileri,1
çıkart,8
bundan,23
sonra,487
da,592
şey,112
bunu,160
girsin,8
buraya,115
bunlar,83
daha,100
büyük,74
ikisi,7
aynı,10
sürüyümmü,1
bunlan,11
oynayacam,1
şimdik,20
bunla,10
oynayacağım,6
acele,1
kullanacağım,2
Kerime,3
götüreceğim,1
dişlere,1
yapışırmı,1
şeker,14
kütür,2
mü,6
babaannem,15
mu,21
mektep,1
evin,26
tane,134
istiyorum,34
ıhh,6
a,79
burdan,40
gelmesin,5
yürüyorlar,6
koşuyorlar,8
arabaya,22
diye,101
bunların,9
sokarmısın,1
düşüyorlar,3
otobüsün,10
arkasına,7
kaçtı,6
girmiyor,7
koştu,4
sığarmı,1
sığarmış,1
c,6
eve,53
Kerimle,1
oyuncaklarımız,2
hep,51
karıştırıyor,4
kapısı,19
girmek,1
için,69
sokak,3
şimdi,150
sürü,6
olacak,18
ile,4
babanın,6
bizim,59
arabamız,1
annemiz,2
bindiriyor,1
bizi,15
niye,87
böyle,332
açılmıyor,1
burası,37
bunun,113
açılıyor,13
burasından,2
evi,24
istersen,6
gene,26
verirmisin,15
çünkü,29
hani,49
şurda,19
vardı,46
yiyimmi,1
Keriminkini,1
biz,107
vakti,2
gelince,18
yemekte,1
oynuyoruz,42
yemeğe,6
alıyoruz,13
kücük,2
arabaları,14
mutfakta,1
yiyoruz,10
yamağimizi,1
nanny,7
yediriyor,1
tabii,95
çıkarıyor,5
anneciğimle,1
Afiy,2
Sinanı,2
çikarıyor,2
sokağa,10
