SF	Word	Segmentation	Analysis	Freq
de	de	de	Stem	95
senden	senden	sen-den	Stem-abl	3
ne	ne	ne	Stem	1396
ʧok	çok	ʧok	Stem	185
ɑletlerin	aletlerin	ɑlet-ler-in	Stem-pl-gen	1
burɑdɑ	burada	burɑ-dɑ	Stem-loc	23
bu	bu	bu	Stem	613
sɑnɑ	sana	sɑn-ɑ	Stem-dat	146
zijɑnɯ	ziyanı	zijɑn-ɯ	Stem-p3s	3
gyzel	güzel	gyzel	Stem	110
ne	ne	ne	Stem	1396
silindiri	silindiri	silindir-i	Stem-p3s	3
bu	bu	bu	Stem	613
bɑlɯk	balık	bɑlɯk	Stem	27
ɑt	at	ɑt	Stem	30
koj	koy	koj	Stem	79
ojunʤɑkʧɯ	oyuncakçı	ojunʤɑk-ʧɯ	Stem-ci	1
kim	kim	kim	Stem	239
ʤiʤi	cici	ʤiʤi	Stem	33
bu	bu	bu	Stem	613
filmi	filimi	fil-m-i	Stem-p1s-acc	1
sen	sen	sen	Stem	535
birʃej	birşey	birʃej	Stem	58
iʧeʤek	içecek	iʧ-eʤek	Stem-part:fut	6
gørynʤe	görünce	gør-ynʤe	Stem-cv:ince	3
bu	bu	bu	Stem	613
geʧ	geç	geʧ	Stem	3
hergyn	hergün	hergyn	Stem	5
bɑkɑlɯm	bakalım	bɑkɑlɯm	Stem	165
ojunlɑr	oyunlar	ojun-lɑr	Stem-pl	11
peki	peki	peki	Stem	218
sen	sen	sen	Stem	535
sen	sen	sen	Stem	535
senin	senin	sen-in	Stem-gen	175
dɯʃɑrɯ	dışarı	dɯʃɑrɯ	Stem	6
koj	koy	koj	Stem	79
hɑrikɑ	harika	hɑrikɑ	Stem	1
vɑpuru	vapuru	vɑpur-u	Stem-p3s	3
hɑdi	hadi	hɑdi	Stem	226
niʧin	niçin	niʧin	Stem	114
ne	ne	ne	Stem	1396
ɑrɑbɑ	araba	ɑrɑbɑ	Stem	37
lytfen	lütfen	lytfen	Stem	31
bɑbɑn	baban	bɑbɑ-n	Stem-p2s	37
ne	ne	ne	Stem	1396
bɑzen	bazen	bɑzen	Stem	31
bu	bu	bu	Stem	613
kediin	kedinin	kedi-in	Stem-gen	5
koj	koy	koj	Stem	79
bu	bu	bu	Stem	613
hii	hii	hii	Stem	1
ujkum	uykum	ujku-m	Stem-p1s	2
nije	niye	nije	Stem	164
tyfek	tüfek	tyfek	Stem	2
ʧok	çok	ʧok	Stem	185
iʃte	işte	iʃte	Stem	51
evde	evde	ev-de	Stem-loc	40
mijɑv	miyav	mijɑv	Stem	8
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
sen	sen	sen	Stem	535
evet	evet	evet	Stem	125
ɑdɯn	adın	ɑd-ɯn	Stem-gen	8
ɑrkɑdɑʃɯn	arkadaşın	ɑrkɑdɑʃ-ɯn	Stem-gen	14
bu	bu	bu	Stem	613
kimler	kimler	kim-ler	Stem-pl	13
nɑsɯl	nasıl	nɑsɯl	Stem	228
ne	ne	ne	Stem	1396
ʤɑnm	canım	ʤɑn-m	Stem-p1s	76
jorgɑn	yorgan	jorgɑn	Stem	2
tepsie	tepsiye	tepsi-e	Stem-dat	3
gyzel	güzel	gyzel	Stem	110
hɑn	han	hɑn	Stem	8
nɑsɯl	nasıl	nɑsɯl	Stem	228
sen	sen	sen	Stem	535
doktorɑ	doktora	doktor-ɑ	Stem-dat	1
ɑblɑ	abla	ɑblɑ	Stem	22
sen	sen	sen	Stem	535
ɑmɑ	ama	ɑmɑ	Stem	155
ɑllɑh	allah	ɑllɑh	Stem	9
ne	ne	ne	Stem	1396
kim	kim	kim	Stem	239
tɑ	ta	tɑ	Stem	7
bir	bir	bir	Stem	210
burʧɑk	burçak	burʧɑk	Stem	119
tɑmɑm	tamam	tɑmɑm	Stem	116
ʤɑnm	canım	ʤɑn-m	Stem-p1s	76
senin	senin	sen-in	Stem-gen	175
bir	bir	bir	Stem	210
hop	hop	hop	Stem	8
vɑpur	vapur	vɑpur	Stem	11
bozuk	bozuk	bozuk	Stem	1
ne	ne	ne	Stem	1396
sen	sen	sen	Stem	535
ɑʃɑɰɯɑ	aşağıya	ɑʃɑɰɯ-ɑ	Stem-dat	5
bɑkɑlɯm	bakalım	bɑkɑlɯm	Stem	165
inek	inek	inek	Stem	8
senin	senin	sen-in	Stem-gen	175
ʃimdi	şimdi	ʃimdi	Stem	122
ɑblɑ	abla	ɑblɑ	Stem	22
tɑmɑm	tamam	tɑmɑm	Stem	116
ʧoʤuklɑr	çocuklar	ʧoʤuk-lɑr	Stem-pl	52
ne	ne	ne	Stem	1396
ilɑʧ	ilaç	ilɑʧ	Stem	4
ɑt	at	ɑt	Stem	30
kɯzm	kızım	kɯz-m	Stem-p1s	197
sonrɑ	sonra	sonrɑ	Stem	79
beni	beni	ben-i	Stem-acc	28
bɑjrɑm	bayram	bɑjrɑm	Stem	2
ne	ne	ne	Stem	1396
mɑjmunɑ	maymuna	mɑjmun-ɑ	Stem-dat	2
køpek	köpek	køpek	Stem	37
ne	ne	ne	Stem	1396
zɑmɑn	zaman	zɑmɑn	Stem	135
topun	topun	top-un	Stem-gen	14
bu	bu	bu	Stem	613
køpek	köpek	køpek	Stem	37
hiʧ	hiç	hiʧ	Stem	41
nei	nesi	ne-i	Stem-p3s	40
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
geʧen	geçen	geʧ-en	Stem-part:pres	1
sen	sen	sen	Stem	535
kim	kim	kim	Stem	239
jemek	yemek	jemek	Stem	40
ne	ne	ne	Stem	1396
sokɑktɑ	sokakta	sokɑk-tɑ	Stem-loc	13
sɑɑt	saat	sɑɑt	Stem	10
ɑmɑ	ama	ɑmɑ	Stem	155
biz	biz	biz	Stem	34
bɑbɑ	baba	bɑbɑ	Stem	75
kɯrmɯzɯ	kırmızı	kɯrmɯzɯ	Stem	19
kim	kim	kim	Stem	239
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
kɑrgɑɯ	kargayı	kɑrgɑ-ɯ	Stem-acc	2
bɑzɯ	bazı	bɑzɯ	Stem	1
vɑr	var	vɑr	Stem	195
orɑdɑ	orada	orɑ-dɑ	Stem-loc	13
peki	peki	peki	Stem	218
tɑne	tane	tɑne	Stem	34
evet	evet	evet	Stem	125
hiʧ	hiç	hiʧ	Stem	41
bɑttɑnijei	battaniyeyi	bɑttɑnije-i	Stem-acc	2
hɑj	hay	hɑj	Stem	3
