SF	Word	Segmentation	Analysis	Freq
ne	ne	ne	Stem	2562
sen	sen	sen	Stem	954
bu	bu	bu	Stem	901
kim	kim	kim	Stem	481
nɑsɯl	nasıl	nɑsɯl	Stem	474
peki	peki	peki	Stem	444
vɑr	var	vɑr	Stem	415
o	o	o	Stem	414
bir	bir	bir	Stem	368
nije	niye	nije	Stem	335
senin	senin	sen-in	Stem-gen	333
zɑmɑn	zaman	zɑmɑn	Stem	319
bɑʃkɑ	başka	bɑʃkɑ	Stem	308
ben	ben	ben	Stem	293
hɑdi	hadi	hɑdi	Stem	265
kɯzm	kızım	kɯz-m	Stem-p1s	263
ʧok	çok	ʧok	Stem	260
bɑkɑlɯm	bakalım	bɑkɑlɯm	Stem	256
sɑnɑ	sana	sɑn-ɑ	Stem-dat	246
ɑmɑ	ama	ɑmɑ	Stem	221
ʃimdi	şimdi	ʃimdi	Stem	213
neree	nereye	nere-e	Stem-dat	207
dɑ	da	dɑ	Stem	196
evet	evet	evet	Stem	189
niʧin	niçin	niʧin	Stem	185
de	de	de	Stem	184
gyzel	güzel	gyzel	Stem	178
ɑnnen	annen	ɑnne-n	Stem-p2s	174
sonrɑ	sonra	sonrɑ	Stem	165
ʤɑnm	canım	ʤɑn-m	Stem-p1s	144
jok	yok	jok	Stem	135
ɑferin	aferin	ɑferin	Stem	131
ʧoʤuklɑr	çocuklar	ʧoʤuk-lɑr	Stem-pl	127
hɑni	hani	hɑni	Stem	124
tɑmɑm	tamam	tɑmɑm	Stem	121
bøjle	böyle	bøjle	Stem	118
hiʧ	hiç	hiʧ	Stem	117
birʃej	birşey	birʃej	Stem	110
neler	neler	ne-ler	Stem-pl	106
evde	evde	ev-de	Stem-loc	105
tɑbii	tabii	tɑbii	Stem	102
bɑbɑ	baba	bɑbɑ	Stem	98
bɑbɑn	baban	bɑbɑ-n	Stem-p2s	97
øjle	öyle	øjle	Stem	96
kediler	kediler	kedi-ler	Stem-pl	96
burɑɑ	buraya	burɑ-ɑ	Stem-dat	93
ɑnne	anne	ɑnne	Stem	91
iʃte	işte	iʃte	Stem	88
dɑhɑ	daha	dɑhɑ	Stem	88
koj	koy	koj	Stem	86
nerede	nerede	nere-de	Stem-loc	86
su	su	su	Stem	85
køpekler	köpekler	køpek-ler	Stem-pl	83
resim	resim	resim	Stem	82
bɑzen	bazen	bɑzen	Stem	79
bebek	bebek	bebek	Stem	79
tɑne	tane	tɑne	Stem	79
yty	ütü	yty	Stem	78
efendim	efendim	efendi-m	Stem-p1s	77
seni	seni	sen-i	Stem-acc	76
kedi	kedi	kedi	Stem	75
hɯ	hı	hɯ	Stem	74
køpek	köpek	køpek	Stem	74
hɑjɯr	hayır	hɑjɯr	Stem	73
hɑ	ha	hɑ	Stem	73
jerleri	yerleri	jer-ler-i	Stem-pl-acc	71
nei	nesi	ne-i	Stem-p3s	69
jemek	yemek	jemek	Stem	68
kuʃlɑr	kuşlar	kuʃ-lɑr	Stem-pl	66
birɑz	biraz	birɑz	Stem	66
jɑ	ya	jɑ	Stem	66
renk	renk	renk	Stem	63
kɯz	kız	kɯz	Stem	60
oun	onun	o-un	Stem-gen	59
bɑlɯk	balık	bɑlɯk	Stem	57
top	top	top	Stem	56
berɑber	beraber	berɑber	Stem	55
bɑlɯklɑr	balıklar	bɑlɯk-lɑr	Stem-pl	53
hɑngi	hangi	hɑngi	Stem	52
kuʃ	kuş	kuʃ	Stem	51
iʧin	için	iʧin	Stem	50
sizin	sizin	siz-in	Stem-gen	50
kɯzmɑ	kızıma	kɯz-m-ɑ	Stem-p1s-dat	49
ki	ki	ki	Stem	48
ɑj	ay	ɑj	Stem	48
ʤiʤi	cici	ʤiʤi	Stem	48
mɑmɑ	mama	mɑmɑ	Stem	47
ɑrɑbɑ	araba	ɑrɑbɑ	Stem	46
kimler	kimler	kim-ler	Stem-pl	46
ʧoʤuk	çocuk	ʧoʤuk	Stem	46
biz	biz	biz	Stem	44
kime	kime	kim-e	Stem-dat	44
evin	evin	ev-in	Stem-gen	43
bugyn	bugün	bugyn	Stem	43
kurt	kurt	kurt	Stem	43
ʃu	şu	ʃu	Stem	42
hɑngii	hangisi	hɑngi-i	Stem-p3s	42
neden	neden	neden	Stem	42
kɑʧ	kaç	kɑʧ	Stem	41
dyn	dün	dyn	Stem	41
ɑʃkm	aşkım	ɑʃk-m	Stem-p1s	41
jɑzɯk	yazık	jɑzɯk	Stem	41
byjyk	büyük	byjyk	Stem	41
ɑʤɑbɑ	acaba	ɑʤɑbɑ	Stem	39
iki	iki	iki	Stem	39
jer	yer	jer	Stem	39
nerei	neresi	nere-i	Stem-p3s	38
beni	beni	ben-i	Stem-acc	38
syt	süt	syt	Stem	37
ɑt	at	ɑt	Stem	37
ɑrtɯk	artık	ɑrtɯk	Stem	37
siz	siz	siz	Stem	35
lytfen	lütfen	lytfen	Stem	35
dije	diye	dije	Stem	35
burɑdɑ	burada	burɑ-dɑ	Stem-loc	35
jɑpɑlɯm	yapalım	jɑp-ɑ-lɯ-m	Stem-cv:ye-li-p1s	34
sɑhi	sahi	sɑhi	Stem	34
kurtlɑr	kurtlar	kurt-lɑr	Stem-pl	33
oɰlɑn	oğlan	oɰlɑn	Stem	33
gøz	göz	gøz	Stem	33
kyʧyk	küçük	kyʧyk	Stem	32
topun	topun	top-un	Stem-gen	32
topu	topu	top-u	Stem-p3s	31
