SF	Word	Segmentation	Analysis	Freq
ylkeler	ülkeler	ylke-ler	Stem-pl	1470
syrei	süresi	syre-i	Stem-p3s	3471
kulɑk	kulak	kulɑk	Stem	1414
byjyk	büyük	byjyk	Stem	22235
konferɑnsɯ	konferansı	konferɑns-ɯ	Stem-p3s	271
fɑɑlijetlerin	faaliyetlerin	fɑɑlijet-ler-in	Stem-pl-gen	248
birimi	birimi	birim-i	Stem-p3s	886
dɑhɑ	daha	dɑhɑ	Stem	45708
ɑrɑ	ara	ɑrɑ	Stem	2001
b	b	b	Stem	6575
ki	ki	ki	Stem	13199
kɑpitɑlizm	kapitalizm	kɑpitɑlizm	Stem	60
ulɑʃmɑtɑ	ulaşmakta	ulɑʃ-mɑ-tɑ	Stem-vn:inf-loc	27
ve	ve	ve	Stem	410082
konferɑnslɑr	konferanslar	konferɑns-lɑr	Stem-pl	180
ɑkʃɑm	akşam	ɑkʃɑm	Stem	1236
oun	onun	o-un	Stem-gen	4669
kɑbul	kabul	kɑbul	Stem	10103
tɑnɯtɯm	tanıtım	tɑnɯtɯm	Stem	762
tɑmɑmen	tamamen	tɑmɑmen	Stem	2856
kimsein	kimsenin	kimse-in	Stem-gen	712
mɑlijet	maliyet	mɑlijet	Stem	829
olɑrɑk	olarak	ol-ɑrɑk	Stem-cv:erek	71279
uzmɑnlɑr	uzmanlar	uzmɑn-lɑr	Stem-pl	394
filou	filosu	filo-u	Stem-p3s	36
gørevlie	görevliye	gørev-li-e	Stem-li-dat	46
proʒein	projenin	proʒe-in	Stem-gen	1147
ve	ve	ve	Stem	410082
ve	ve	ve	Stem	410082
olɑrɑk	olarak	ol-ɑrɑk	Stem-cv:erek	71279
gɑzlɑrɯ	gazları	gɑz-lɑr-ɯ	Stem-pl-p3s	71
ortɑɑ	ortaya	ortɑ-ɑ	Stem-dat	8304
konuu	konusu	konu-u	Stem-p3s	5191
hɑzɯrlɑɯp	hazırlayıp	hɑzɯr-lɑ-ɯp	Stem-la-cv:ip	121
dynjɑ	dünya	dynjɑ	Stem	7323
j	y	j	Stem	1685
hɑttɑ	hatta	hɑttɑ	Stem	3409
bir	bir	bir	Stem	249887
doɰɑn	doğan	doɰ-ɑn	Stem-part:pres	1371
elmizde	elimizde	el-miz-de	Stem-p1p-loc	208
dɑhɑ	daha	dɑhɑ	Stem	45708
tym	tüm	tym	Stem	17273
mejdɑnɑ	meydana	mejdɑn-ɑ	Stem-dat	3784
ve	ve	ve	Stem	410082
jɑjɯn	yayın	jɑjɯn	Stem	2283
oluʃu	oluşu	ol-uʃ-u	Stem-vn:yis-p3s	261
tyketim	tüketim	tyketim	Stem	856
kimse	kimse	kimse	Stem	1837
sɑnɑtʧɯɯn	sanatçının	sɑnɑt-ʧɯ-ɯn	Stem-ci-gen	190
de	de	de	Stem	62501
toplumun	toplumun	toplum-un	Stem-gen	1508
gyzel	güzel	gyzel	Stem	4853
kullɑnmɑ	kullanmak	kullɑn-mɑ	Stem-vn:inf	1247
ile	ile	ile	Stem	91917
tɑblou	tablosu	tɑblo-u	Stem-p3s	372
bu	bu	bu	Stem	182175
ʧok	çok	ʧok	Stem	44655
konumɑ	konuma	konum-ɑ	Stem-dat	284
øɰreten	öğreten	øɰret-en	Stem-part:pres	64
kurum	kurum	kurum	Stem	3441
sɑn	san	sɑn	Stem	3766
bilgi	bilgi	bilgi	Stem	14026
vɑr	var	vɑr	Stem	11381
grɑfik	grafik	grɑfik	Stem	1121
her	her	her	Stem	37829
iʧin	için	iʧin	Stem	87024
okul	okul	okul	Stem	2875
ʧok	çok	ʧok	Stem	44655
elbette	elbette	elbette	Stem	917
kɑnɑlizɑsjon	kanalizasyon	kɑnɑlizɑsjon	Stem	253
tɑmir	tamir	tɑmir	Stem	366
køty	kötü	køty	Stem	2477
eski	eski	eski	Stem	5794
oluʃɑn	oluşan	oluʃ-ɑn	Stem-part:pres	3428
ve	ve	ve	Stem	410082
sɑjfɑɯ	sayfası	sɑjfɑ-ɯ	Stem-p3s	589
kɑrɑr	karar	kɑrɑr	Stem	6387
uzun	uzun	uzun	Stem	6994
bir	bir	bir	Stem	249887
jɑrdɯmʤɯ	yardımcı	jɑrdɯmʤɯ	Stem	3056
ʤɑm	cam	ʤɑm	Stem	1378
progrɑm	program	progrɑm	Stem	4385
rɑporlɑrɯn	raporların	rɑpor-lɑr-ɯn	Stem-pl-gen	164
korumɑ	korumak	koru-mɑ	Stem-vn:inf	769
ɑjnɯ	aynı	ɑjnɯ	Stem	14697
dyzenlenen	düzenlenen	dyzen-len-en	Stem-lan-part:pres	1945
meʤliste	mecliste	meʤlis-te	Stem-loc	106
zorunlu	zorunlu	zorunlu	Stem	2005
tyry	türü	tyr-y	Stem-p3s	1243
bir	bir	bir	Stem	249887
kitɑp	kitap	kitɑp	Stem	2376
jønetimi	yönetimi	jønetim-i	Stem-p3s	2792
ɑlt	alt	ɑlt	Stem	4067
konu	konu	konu	Stem	3689
inʤe	ince	inʤe	Stem	1370
gerʧekten	gerçekten	gerʧekten	Stem	1802
tɑbii	tabii	tɑbii	Stem	2366
ʧok	çok	ʧok	Stem	44655
meslek	meslek	meslek	Stem	3279
tɑkkeli	takkeli	tɑkke-li	Stem-li	47
birnʤi	birinci	bir-nʤi	Stem-ord	3749
ve	ve	ve	Stem	410082
ve	ve	ve	Stem	410082
toplumsɑl	toplumsal	toplum-sɑl	Stem-sal	1826
ve	ve	ve	Stem	410082
bu	bu	bu	Stem	182175
ile	ile	ile	Stem	91917
tɑkdirde	takdirde	tɑkdirde	Stem	2887
ikilii	ikilisi	ikili-i	Stem-p3s	29
vergi	vergi	vergi	Stem	2428
dolɑjɯ	dolayı	dolɑjɯ	Stem	2832
tɑkip	takip	tɑkip	Stem	3390
sɯnɑv	sınav	sɯnɑv	Stem	2222
tɯp	tıp	tɯp	Stem	3138
ʧɑlɯʃɑnlɑr	çalışanlar	ʧɑlɯʃɑn-lɑr	Stem-pl	535
ɑʃɑmɑɑ	aşamaya	ɑʃɑmɑ-ɑ	Stem-dat	121
lisɑnsysty	lisansüstü	lisɑnsysty	Stem	656
ʧɑlɯʃmɑlɑrɯ	çalışmaları	ʧɑlɯʃ-mɑ-lɑr-ɯ	Stem-vn:inf-pl-p3s	3605
hɯzɯ	hızı	hɯz-ɯ	Stem-p3s	914
fijɑtlɑrɑ	fiyatlara	fijɑt-lɑr-ɑ	Stem-pl-dat	107
de	de	de	Stem	62501
ɑ	a	ɑ	Stem	14840
jɑjɯnlɑrɯ	yayınları	jɑjɯn-lɑr-ɯ	Stem-pl-p3s	1108
ɑɰɯz	ağız	ɑɰɯz	Stem	707
muhɑsebe	muhasebe	muhɑsebe	Stem	953
gyvenli	güvenli	gyven-li	Stem-li	1340
polisin	polisin	polis-in	Stem-gen	237
kɑt	kat	kɑt	Stem	2488
tɑvɑn	tavan	tɑvɑn	Stem	284
memurijet	memuriyet	memurijet	Stem	52
hizmetleri	hizmetleri	hizmet-ler-i	Stem-pl-p3s	3426
bɑkije	bakiye	bɑkije	Stem	182
rɑporlɑrɯ	raporları	rɑpor-lɑr-ɯ	Stem-pl-p3s	563
liderleri	liderleri	lider-ler-i	Stem-pl-p3s	134
ve	ve	ve	Stem	410082
ølymler	ölümler	ølym-ler	Stem-pl	102
